CASEID,OCCUPATION_COL,WORKTYPE_FINAL,SCIENCE_CLASSES,MATH_CLASSES,TALENT,PROVE,RESPECTA,RESPECTB,INTEREST1,STEMJOBA,STEMJOBB,REASON1A,REASON1B,REASON1C,REASON1D,REASON1E,REASON1F,REASON1G,TECH1,TECH2,TECH3,GEND1,GEND2,GEND3,GEND4,GEND5,HARASS1,HARASS2,HARASS3,GENDER,STEM_DEGREE,EDUCATION,INCOME_AVERAGE,AGE-1_CATEGORY,AGE-2_CATEGORY,EMPLOYED
3,1,1,0,0,1,0,2,2,4,1,1,1,1,2,1,2,3,1,2,3,1,1,2,2,2,1,3,3,2,1,2,3,87499.5,45,54,1
4,2,1,1,1,2,3,2,2,4,1,1,2,2,1,2,1,3,1,1,1,1,3,1,1,3,1,3,2,2,1,1,4,100000.0,35,44,1
5,19,2,1,1,2,0,1,1,2,1,1,2,2,2,2,1,3,1,2,1,1,2,1,1,3,2,3,3,2,1,1,3,100000.0,55,64,1
6,9,1,1,1,1,3,1,1,4,3,3,2,2,2,2,2,3,1,2,1,1,3,1,1,3,2,2,3,1,1,1,4,100000.0,45,54,1
7,4,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,3,1,1,3,2,2,3,2,2,2,4,100000.0,65,74,1
9,26,3,1,1,2,2,1,2,4,1,3,1,1,2,1,2,2,1,2,1,1,2,1,1,3,1,3,3,2,1,2,4,87499.5,65,74,0
10,5,1,1,1,1,0,2,1,4,1,1,1,1,1,3,2,3,2,3,3,3,1,1,1,3,1,3,3,2,2,1,2,100000.0,55,64,1
11,1,1,1,0,3,3,2,2,4,1,1,2,2,1,3,2,1,2,1,3,2,1,1,1,3,2,2,2,2,2,1,3,87499.5,35,44,1
12,16,2,0,0,1,2,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,2,1,1,3,3,3,3,2,2,1,2,62499.5,55,64,1
13,13,1,1,1,1,2,1,2,4,3,3,1,2,2,3,3,2,2,3,3,3,2,1,1,3,2,3,2,2,1,1,3,100000.0,55,64,1
14,19,2,1,1,2,3,3,1,1,1,1,2,3,3,1,3,3,2,1,1,1,3,1,3,2,2,3,2,2,2,1,2,100000.0,18,24,1
15,11,1,1,1,3,2,2,2,4,1,1,1,2,1,1,3,3,2,2,3,2,2,1,1,3,2,2,2,2,1,1,4,100000.0,25,34,1
18,22,2,1,1,1,2,1,2,3,1,3,3,3,2,3,1,2,3,3,3,3,1,1,1,3,5,3,3,2,2,2,2,62499.5,25,34,1
19,11,1,1,1,1,3,1,1,4,3,3,1,2,2,1,2,3,1,2,1,1,2,3,3,3,2,3,3,1,1,1,4,39999.5,65,74,1
21,5,1,1,1,2,3,1,1,4,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,3,2,2,3,2,2,1,3,100000.0,25,34,1
22,4,2,1,0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,3,1,2,3,3,3,3,2,2,1,2,39999.5,25,34,1
23,12,1,1,0,2,2,3,2,4,1,1,1,1,2,2,2,2,2,1,3,1,2,1,1,3,1,2,2,1,1,1,3,62499.5,35,44,1
24,26,3,1,1,2,2,1,2,4,1,1,2,2,3,3,3,3,3,2,3,2,2,1,1,3,4,3,3,2,1,1,4,87499.5,65,74,0
25,25,2,1,1,1,0,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,3,1,1,3,2,3,3,2,2,1,1,30000.0,55,64,1
27,20,2,1,1,3,0,2,2,4,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,3,4,3,3,2,1,1,2,87499.5,65,74,1
28,6,2,1,1,2,0,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,3,2,3,2,2,1,2,3,87499.5,65,74,1
31,25,2,1,1,2,2,5,2,1,1,1,2,2,2,1,1,1,2,2,3,1,3,2,2,3,3,2,2,1,2,2,3,100000.0,45,54,1
32,1,1,1,1,2,2,3,1,4,1,3,1,2,2,1,2,3,1,2,3,2,1,3,3,2,2,3,2,2,2,1,2,100000.0,55,64,1
33,4,2,0,0,2,2,0,2,3,1,3,1,1,2,1,2,3,3,1,1,1,2,1,1,3,1,2,2,2,2,2,4,100000.0,35,44,1
34,1,1,1,1,1,1,2,2,4,1,3,1,1,1,1,3,3,3,1,1,1,1,2,2,2,1,3,3,2,1,1,4,100000.0,55,64,1
35,12,1,1,0,2,3,1,1,4,3,3,1,1,3,1,3,3,3,1,3,1,1,2,1,3,1,2,2,2,1,1,2,39999.5,18,24,1
36,4,2,1,1,1,3,1,1,4,1,1,1,1,2,1,1,1,1,3,1,2,2,1,1,3,2,3,2,1,1,1,1,100000.0,55,64,1
37,5,1,1,1,1,2,1,2,4,1,1,3,3,3,3,3,1,3,1,2,3,1,1,1,1,5,3,3,2,2,1,4,62499.5,55,64,1
38,1,1,1,1,2,2,1,2,4,1,1,1,3,3,3,3,1,2,2,2,3,2,3,3,3,4,2,3,2,2,1,4,100000.0,55,64,1
39,1,1,1,1,2,2,1,2,4,2,2,1,1,2,3,2,2,1,2,3,2,1,1,1,3,3,3,2,2,2,1,3,62499.5,55,64,1
40,8,1,0,1,1,2,1,2,4,1,1,2,2,3,3,3,3,2,2,2,3,2,1,1,3,5,3,3,2,1,1,4,87499.5,45,54,1
41,5,1,1,1,2,3,1,1,4,1,3,2,3,2,3,2,1,2,2,3,2,3,2,1,1,3,3,3,2,2,1,4,100000.0,45,54,1
42,1,1,1,1,1,2,2,2,4,1,1,2,2,2,2,3,2,1,1,1,2,1,1,2,3,2,3,2,2,1,2,3,62499.5,18,24,1
43,26,3,1,1,2,2,1,2,4,1,3,1,1,2,2,1,3,3,2,3,2,2,1,1,3,2,3,3,2,2,2,4,100000.0,65,74,0
44,1,1,0,0,2,2,3,2,4,3,1,1,1,1,1,2,2,1,1,3,1,1,2,2,2,1,2,1,1,1,1,2,62499.5,55,64,1
45,12,1,1,0,1,2,1,1,4,1,1,3,3,3,3,3,3,1,2,3,3,3,1,1,3,5,3,3,2,1,1,1,39999.5,35,44,1
46,15,2,1,0,2,2,1,2,3,1,2,1,3,3,3,3,3,3,2,3,2,2,1,1,3,5,3,2,2,2,2,3,62499.5,25,34,1
47,12,1,0,0,1,1,1,1,4,1,1,1,2,1,3,3,1,1,3,3,1,3,1,1,3,1,3,3,2,1,1,2,87499.5,55,64,1
48,13,1,0,0,1,1,0,1,4,1,1,3,2,2,2,1,2,3,3,3,3,2,1,1,3,4,3,3,1,1,1,2,100000.0,35,44,1
49,22,2,1,0,1,2,2,0,1,3,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,5,3,3,2,2,1,1,62499.5,45,54,1
50,23,2,0,0,4,2,1,1,4,1,3,3,3,3,2,3,3,3,3,3,3,1,2,2,2,3,3,3,2,2,1,2,39999.5,55,64,1
51,22,2,1,0,1,2,2,3,1,1,1,1,2,2,1,2,3,2,2,1,2,3,2,2,3,4,2,3,2,1,1,1,62499.5,25,34,1
52,26,3,1,1,2,2,1,2,4,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,3,3,3,2,2,2,3,100000.0,65,74,0
53,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,3,1,1,2,1,1,3,1,1,1,1,1,2,3,100000.0,25,34,1
54,1,1,0,1,2,0,1,1,4,1,2,3,3,3,3,3,3,3,3,3,1,1,1,1,3,4,3,3,2,1,1,2,62499.5,35,44,1
57,15,2,1,1,2,3,2,1,2,3,2,3,1,3,3,2,2,1,2,3,3,1,1,1,3,4,3,2,2,2,2,3,100000.0,25,34,1
58,1,1,1,1,2,2,3,1,4,1,3,1,2,2,1,2,3,2,1,3,1,1,1,1,3,2,3,1,2,2,1,3,87499.5,35,44,1
59,4,2,0,0,1,3,1,1,3,1,3,1,2,3,2,2,2,3,3,3,2,3,1,1,3,1,3,3,2,1,1,2,62499.5,55,64,1
60,14,2,1,1,2,2,2,2,3,2,1,2,3,2,3,2,2,2,2,2,2,1,2,3,3,4,3,3,2,2,2,3,100000.0,25,34,1
61,3,2,1,0,2,2,1,1,2,1,1,3,1,2,2,1,3,1,2,3,2,2,1,1,3,3,3,3,2,1,1,2,100000.0,65,74,1
63,12,1,1,1,2,2,1,2,4,1,3,1,2,3,2,2,3,1,2,1,2,2,1,1,3,1,3,2,2,1,1,4,100000.0,45,54,1
64,13,1,1,1,2,2,1,2,4,3,3,3,3,3,2,3,2,3,2,3,1,1,1,1,3,3,3,2,2,2,1,3,62499.5,55,64,1
65,20,2,1,1,2,2,1,1,4,1,1,3,3,2,2,2,3,1,3,3,3,1,1,1,3,2,3,2,1,1,1,2,87499.5,55,64,1
66,10,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,3,2,2,2,2,2,39999.5,45,54,1
69,19,2,1,0,1,2,1,3,2,1,1,1,1,1,1,1,2,3,3,1,2,1,3,3,2,1,3,3,2,1,1,2,39999.5,55,64,1
70,25,2,1,0,1,2,1,2,3,1,1,2,2,3,3,2,2,2,3,3,3,3,1,1,3,4,3,3,2,1,2,3,100000.0,45,54,1
71,12,1,1,0,3,2,0,1,4,2,2,3,3,2,3,1,3,1,1,3,3,2,1,3,2,4,2,2,1,1,1,3,100000.0,55,64,1
72,12,1,0,1,2,1,0,1,4,1,1,1,1,2,1,2,3,2,1,1,1,3,1,2,3,1,1,1,1,1,1,4,62499.5,25,34,1
73,1,1,1,1,2,3,0,0,4,1,2,2,3,2,1,3,1,2,2,3,2,1,1,1,3,3,3,3,2,2,1,1,30000.0,55,64,1
74,10,2,1,1,1,2,1,2,3,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,3,1,1,3,2,2,2,4,100000.0,65,74,1
75,5,1,1,1,2,2,2,2,4,1,3,1,1,1,2,2,2,1,2,2,2,1,1,1,2,3,3,2,2,2,1,3,87499.5,35,44,1
77,23,2,1,1,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,2,2,2,2,100000.0,55,64,1
78,3,2,0,0,2,3,2,1,4,1,1,1,3,2,2,3,3,2,3,3,2,2,1,1,3,3,3,3,2,2,2,3,87499.5,45,54,1
79,3,2,1,0,2,3,2,1,4,1,2,3,3,1,3,2,2,2,3,3,3,1,1,1,3,2,3,3,2,2,2,4,100000.0,35,44,1
80,12,1,1,1,2,3,1,1,4,1,1,3,3,3,3,3,3,3,3,2,3,2,1,1,3,4,3,3,2,1,1,3,87499.5,55,64,1
81,22,2,1,1,2,2,1,2,3,1,1,3,2,3,3,2,2,3,3,3,3,1,1,1,1,3,3,3,2,2,1,1,87499.5,45,54,1
82,1,1,1,0,2,2,1,2,4,1,2,3,2,3,3,3,3,3,3,2,3,3,3,1,3,2,1,3,1,1,1,2,30000.0,25,34,1
84,1,1,1,0,2,2,2,2,4,1,1,3,3,3,3,3,1,2,3,3,3,2,1,1,3,3,3,3,2,2,1,4,100000.0,25,34,1
85,2,1,1,0,2,3,1,1,4,3,3,1,3,1,1,1,2,3,2,3,1,3,2,2,3,2,3,2,2,1,1,4,100000.0,55,64,1
86,25,2,0,0,2,3,2,2,4,1,1,1,1,2,1,2,3,1,2,1,1,3,3,3,3,2,3,2,2,1,2,3,39999.5,55,64,1
88,3,2,1,1,2,1,3,0,2,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,3,4,3,3,2,2,2,2,100000.0,45,54,1
89,1,1,1,0,4,1,1,3,4,1,2,1,2,1,1,2,3,2,1,1,3,3,2,2,2,5,1,1,2,2,1,2,30000.0,65,74,1
91,4,2,0,1,2,3,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,3,1,3,2,1,1,2,2,100000.0,55,64,1
92,1,1,1,1,1,0,1,1,4,3,1,2,3,3,3,3,1,3,3,3,3,1,1,1,1,1,3,3,2,2,1,2,87499.5,45,54,1
93,5,1,0,1,3,2,1,1,4,1,1,2,3,2,2,1,3,3,3,3,2,1,1,1,3,3,2,3,2,2,1,2,100000.0,45,54,1
95,4,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,2,3,3,2,2,2,4,62499.5,55,64,1
96,25,2,0,0,2,2,1,1,3,1,1,1,1,2,3,3,3,2,3,3,3,2,1,1,3,2,3,3,2,1,2,3,100000.0,65,74,1
97,26,3,1,1,2,2,1,2,4,1,1,2,3,2,3,2,2,2,3,3,2,2,1,1,3,3,3,3,2,1,1,1,62499.5,45,54,0
100,8,2,0,0,1,2,2,2,4,1,3,3,3,3,3,3,2,2,3,3,3,2,1,2,3,3,3,3,2,1,2,4,100000.0,55,64,1
101,16,2,1,1,2,2,1,2,2,1,3,1,3,2,2,1,2,1,2,3,2,2,1,1,3,2,2,2,2,1,1,3,30000.0,35,44,1
102,1,1,1,1,1,2,1,2,4,1,3,1,2,1,1,2,2,2,2,3,2,1,1,1,3,2,3,2,2,2,1,3,100000.0,65,74,1
103,9,1,1,1,2,3,2,2,4,1,3,1,2,1,1,2,2,1,2,3,1,3,1,2,3,1,2,2,1,2,1,4,100000.0,55,64,1
105,12,1,0,0,2,1,2,2,4,1,1,3,3,3,2,2,3,2,2,3,1,2,1,1,3,2,1,1,2,1,1,3,100000.0,55,64,1
106,1,1,1,1,2,2,1,2,4,1,1,1,3,1,1,2,3,2,1,1,1,1,2,3,2,3,3,1,2,2,1,4,62499.5,55,64,1
109,10,2,1,0,3,3,1,1,2,1,1,1,2,1,1,3,3,2,2,3,1,1,1,2,2,1,2,3,2,2,1,2,62499.5,45,54,1
110,1,1,1,1,2,2,1,2,4,1,2,3,3,3,3,3,1,2,1,2,3,3,1,1,3,5,3,3,2,2,1,3,62499.5,45,54,1
111,12,1,0,0,2,2,1,3,4,1,1,3,3,3,3,3,3,2,3,3,3,2,1,1,3,5,3,3,2,1,1,2,87499.5,55,64,1
113,2,1,1,0,2,1,3,3,4,3,2,3,3,3,3,3,3,1,2,3,2,2,1,1,2,2,2,3,2,1,1,4,30000.0,25,34,1
114,16,2,1,1,2,1,2,1,4,1,1,1,1,1,1,2,3,1,3,2,2,1,1,1,3,3,3,3,2,2,1,1,87499.5,45,54,1
115,23,2,0,1,3,2,2,2,3,1,1,1,2,1,1,2,1,1,2,3,1,3,2,2,2,1,2,2,2,2,1,1,87499.5,45,54,1
116,17,2,0,0,1,0,1,1,3,1,3,1,2,2,1,1,3,1,3,3,1,3,1,1,3,1,3,3,2,1,1,2,30000.0,45,54,1
117,12,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,2,2,2,1,1,3,62499.5,55,64,1
119,3,2,1,0,4,3,1,1,1,1,1,1,1,1,2,3,2,2,3,1,1,1,1,1,2,2,3,3,2,2,2,3,100000.0,35,44,1
