CASEID,FULLTIME_OR_PARTTIME,SELFEMPLOYED,OCCUPATION_COL,WORKTYPE_FINAL,SCIENCE_CLASSES,MATH_CLASSES,TALENT,PROVE,RESPECTA,RESPECTB,INTEREST1,STEMJOBA,STEMJOBB,REASON1A,REASON1B,REASON1C,REASON1D,REASON1E,REASON1F,REASON1G,TECH1,TECH2,TECH3,TECH4,TECH5,TECH6,GEND1,GEND2,GEND3,GEND4,GEND5,HARASS1,HARASS2,HARASS3,GENDER,STEM_DEGREE,EDUCATION,INCOME_AVERAGE,START_AGE,END_AGE,EMPLOYED,UN_EMPLOYED
3,1,2,1,1,0,0,1,0,2,2,4,1,1,1,1,2,1,2,3,1,2,3,1,2,3,1,1,2,2,2,1,3,3,2,1,2,3,87499.5,45,54,1,0
4,1,2,2,1,1,1,2,3,2,2,4,1,1,2,2,1,2,1,3,1,1,1,1,2,1,2,3,1,1,3,1,3,2,2,1,1,4,100000.0,35,44,1,0
5,2,2,19,2,1,1,2,0,1,1,2,1,1,2,2,2,2,1,3,1,2,1,1,2,1,1,2,1,1,3,2,3,3,2,1,1,3,100000.0,55,64,1,0
6,1,1,9,1,1,1,1,3,1,1,4,3,3,2,2,2,2,2,3,1,2,1,1,2,3,2,3,1,1,3,2,2,3,1,1,1,4,100000.0,45,54,1,0
7,2,1,4,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,3,1,1,3,2,2,3,2,2,2,4,100000.0,65,74,1,0
9,0,0,26,3,1,1,2,2,1,2,4,1,3,1,1,2,1,2,2,1,2,1,1,2,3,2,2,1,1,3,1,3,3,2,1,2,4,87499.5,65,74,0,-1
10,1,2,5,1,1,1,1,0,2,1,4,1,1,1,1,1,3,2,3,2,3,3,3,3,3,2,1,1,1,3,1,3,3,2,2,1,2,100000.0,55,64,1,0
11,1,2,1,1,1,0,3,3,2,2,4,1,1,2,2,1,3,2,1,2,1,3,2,3,3,2,1,1,1,3,2,2,2,2,2,1,3,87499.5,35,44,1,0
12,1,2,16,2,0,0,1,2,1,1,1,1,1,1,1,2,3,1,1,1,2,1,1,2,1,1,2,1,1,3,3,3,3,2,2,1,2,62499.5,55,64,1,0
13,1,2,13,1,1,1,1,2,1,2,4,3,3,1,2,2,3,3,2,2,3,3,3,3,3,2,2,1,1,3,2,3,2,2,1,1,3,100000.0,55,64,1,0
14,2,2,19,2,1,1,2,3,3,1,1,1,1,2,3,3,1,3,3,2,1,1,1,1,1,1,3,1,3,2,2,3,2,2,2,1,2,100000.0,18,24,1,0
15,1,2,11,1,1,1,3,2,2,2,4,1,1,1,2,1,1,3,3,2,2,3,2,3,3,2,2,1,1,3,2,2,2,2,1,1,4,100000.0,25,34,1,0
18,1,1,22,2,1,1,1,2,1,2,3,1,3,3,3,2,3,1,2,3,3,3,3,3,3,3,1,1,1,3,5,3,3,2,2,2,2,62499.5,25,34,1,0
19,2,2,11,1,1,1,1,3,1,1,4,3,3,1,2,2,1,2,3,1,2,1,1,2,1,1,2,3,3,3,2,3,3,1,1,1,4,39999.5,65,74,1,0
21,1,2,5,1,1,1,2,3,1,1,4,1,1,1,2,1,2,2,2,2,1,1,1,2,3,2,1,1,1,3,2,2,3,2,2,1,3,100000.0,25,34,1,0
22,1,2,4,2,1,0,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,3,1,2,3,3,3,3,2,2,1,2,39999.5,25,34,1,0
23,1,2,12,1,1,0,2,2,3,2,4,1,1,1,1,2,2,2,2,2,1,3,1,3,3,2,2,1,1,3,1,2,2,1,1,1,3,62499.5,35,44,1,0
24,0,0,26,3,1,1,2,2,1,2,4,1,1,2,2,3,3,3,3,3,2,3,2,2,3,2,2,1,1,3,4,3,3,2,1,1,4,87499.5,65,74,0,-1
25,1,2,25,2,1,1,1,0,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,3,2,3,1,1,3,2,3,3,2,2,1,1,30000.0,55,64,1,0
27,2,2,20,2,1,1,3,0,2,2,4,1,1,1,1,1,1,1,2,1,2,1,1,3,3,2,2,1,1,3,4,3,3,2,1,1,2,87499.5,65,74,1,0
28,1,2,6,2,1,1,2,0,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,3,2,3,2,2,1,2,3,87499.5,65,74,1,0
31,1,2,25,2,1,1,2,2,5,2,1,1,1,2,2,2,1,1,1,2,2,3,1,2,3,1,3,2,2,3,3,2,2,1,2,2,3,100000.0,45,54,1,0
32,1,2,1,1,1,1,2,2,3,1,4,1,3,1,2,2,1,2,3,1,2,3,2,2,3,2,1,3,3,2,2,3,2,2,2,1,2,100000.0,55,64,1,0
33,1,2,4,2,0,0,2,2,0,2,3,1,3,1,1,2,1,2,3,3,1,1,1,2,3,1,2,1,1,3,1,2,2,2,2,2,4,100000.0,35,44,1,0
34,1,2,1,1,1,1,1,1,2,2,4,1,3,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,2,2,1,3,3,2,1,1,4,100000.0,55,64,1,0
35,1,2,12,1,1,0,2,3,1,1,4,3,3,1,1,3,1,3,3,3,1,3,1,1,1,1,1,2,1,3,1,2,2,2,1,1,2,39999.5,18,24,1,0
36,1,2,4,2,1,1,1,3,1,1,4,1,1,1,1,2,1,1,1,1,3,1,2,3,3,2,2,1,1,3,2,3,2,1,1,1,1,100000.0,55,64,1,0
37,2,1,5,1,1,1,1,2,1,2,4,1,1,3,3,3,3,3,1,3,1,2,3,1,2,3,1,1,1,1,5,3,3,2,2,1,4,62499.5,55,64,1,0
38,1,1,1,1,1,1,2,2,1,2,4,1,1,1,3,3,3,3,1,2,2,2,3,3,3,3,2,3,3,3,4,2,3,2,2,1,4,100000.0,55,64,1,0
39,1,2,1,1,1,1,2,2,1,2,4,2,2,1,1,2,3,2,2,1,2,3,2,2,3,2,1,1,1,3,3,3,2,2,2,1,3,62499.5,55,64,1,0
40,2,1,8,1,0,1,1,2,1,2,4,1,1,2,2,3,3,3,3,2,2,2,3,2,2,3,2,1,1,3,5,3,3,2,1,1,4,87499.5,45,54,1,0
41,1,2,5,1,1,1,2,3,1,1,4,1,3,2,3,2,3,2,1,2,2,3,2,2,3,1,3,2,1,1,3,3,3,2,2,1,4,100000.0,45,54,1,0
42,1,2,1,1,1,1,1,2,2,2,4,1,1,2,2,2,2,3,2,1,1,1,2,2,2,2,1,1,2,3,2,3,2,2,1,2,3,62499.5,18,24,1,0
43,0,0,26,3,1,1,2,2,1,2,4,1,3,1,1,2,2,1,3,3,2,3,2,1,1,2,2,1,1,3,2,3,3,2,2,2,4,100000.0,65,74,0,-1
44,1,2,1,1,0,0,2,2,3,2,4,3,1,1,1,1,1,2,2,1,1,3,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,62499.5,55,64,1,0
45,1,2,12,1,1,0,1,2,1,1,4,1,1,3,3,3,3,3,3,1,2,3,3,3,3,3,3,1,1,3,5,3,3,2,1,1,1,39999.5,35,44,1,0
46,1,2,15,2,1,0,2,2,1,2,3,1,2,1,3,3,3,3,3,3,2,3,2,2,3,2,2,1,1,3,5,3,2,2,2,2,3,62499.5,25,34,1,0
47,1,2,12,1,0,0,1,1,1,1,4,1,1,1,2,1,3,3,1,1,3,3,1,3,3,3,3,1,1,3,1,3,3,2,1,1,2,87499.5,55,64,1,0
48,1,2,13,1,0,0,1,1,0,1,4,1,1,3,2,2,2,1,2,3,3,3,3,3,3,3,2,1,1,3,4,3,3,1,1,1,2,100000.0,35,44,1,0
49,1,2,22,2,1,0,1,2,2,0,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,5,3,3,2,2,1,1,62499.5,45,54,1,0
50,1,2,23,2,0,0,4,2,1,1,4,1,3,3,3,3,2,3,3,3,3,3,3,3,1,2,1,2,2,2,3,3,3,2,2,1,2,39999.5,55,64,1,0
51,1,2,22,2,1,0,1,2,2,3,1,1,1,1,2,2,1,2,3,2,2,1,2,2,3,2,3,2,2,3,4,2,3,2,1,1,1,62499.5,25,34,1,0
52,0,0,26,3,1,1,2,2,1,2,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,3,3,3,3,2,2,2,3,100000.0,65,74,0,-1
53,1,2,4,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,3,1,1,3,1,1,2,1,1,3,1,1,1,1,1,2,3,100000.0,25,34,1,0
54,1,2,1,1,0,1,2,0,1,1,4,1,2,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,3,4,3,3,2,1,1,2,62499.5,35,44,1,0
